Date,VFINX,vix,vfx,vbx,spx,usdx,tnx,nasdaq,dji,oil,apple,msft,google,amazon,spyVol
2010-09-23,85.31105041503906,23.8700008392334,85.31105041503906,8.372854232788086,1880.969970703125,80.01000213623047,2.555000066757202,1981.5,10662.419921875,75.18000030517578,8.901322364807129,19.30493927001953,256.99700927734375,152.85000610351562,202354300.0
2010-09-24,87.11582946777344,21.709999084472656,87.11582946777344,8.349750518798828,1920.8399658203125,79.38999938964844,2.611999988555908,2018.25,10860.259765625,76.48999786376953,9.006070137023926,19.581514358520508,263.9089050292969,160.72999572753906,209671800.0
2010-09-27,86.62962341308594,22.540000915527344,86.62962341308594,8.380560874938965,1909.97998046875,79.33999633789062,2.5169999599456787,2007.25,10812.0400390625,76.5199966430664,8.970332145690918,19.542007446289062,265.470458984375,159.3699951171875,128761800.0
2010-09-28,87.05816650390625,22.600000381469727,87.05816650390625,8.388257026672363,1919.5899658203125,79.01000213623047,2.4560000896453857,2008.5,10858.1396484375,76.18000030517578,8.837855339050293,19.50249481201172,263.8488464355469,159.6999969482422,209207500.0
2010-09-29,86.8438720703125,23.25,86.8438720703125,8.380560874938965,1914.8399658203125,78.69000244140625,2.50600004196167,2009.0,10835.2802734375,77.86000061035156,8.853568077087402,19.36025619506836,264.1091003417969,158.99000549316406,179665800.0
2010-09-30,86.58018493652344,23.700000762939453,86.58018493652344,8.4029541015625,1908.949951171875,78.72000122070312,2.5169999599456787,1995.5,10788.0498046875,79.97000122070312,8.742042541503906,19.352354049682617,263.1581726074219,157.05999755859375,287106700.0
2010-10-01,86.9592514038086,22.5,86.9592514038086,8.4029541015625,1917.4200439453125,78.08999633789062,2.5260000228881836,1994.5,10829.6796875,81.58000183105469,8.704142570495605,19.265426635742188,263.07305908203125,153.7100067138672,174638700.0
2010-10-04,86.26702880859375,23.530000686645508,86.26702880859375,8.418399810791016,1902.1500244140625,78.44999694824219,2.4790000915527344,1977.0,10751.26953125,81.47000122070312,8.58460521697998,18.894027709960938,261.4364318847656,155.38999938964844,166153200.0
2010-10-05,88.06354522705078,21.760000228881836,88.06354522705078,8.418399810791016,1941.8199462890625,77.75,2.4739999771118164,2018.5,10944.7197265625,82.81999969482422,8.901938438415527,19.241722106933594,269.3843688964844,160.8699951171875,229634100.0
2010-10-06,88.05529022216797,21.489999771118164,88.05529022216797,8.441567420959473,1941.5,77.38999938964844,2.3989999294281006,2004.25,10967.650390625,83.2300033569336,8.909639358520508,19.30493927001953,267.44244384765625,155.39999389648438,148626600.0
2010-10-07,87.906982421875,21.559999465942383,87.906982421875,8.441567420959473,1938.31005859375,77.38999938964844,2.3959999084472656,2014.0,10948.580078125,81.66999816894531,8.910563468933105,19.383956909179688,265.270263671875,156.27000427246094,164860000.0
2010-10-08,88.44264221191406,20.709999084472656,88.44264221191406,8.441567420959473,1950.1800537109375,77.31999969482422,2.38100004196167,2020.75,11006.48046875,82.66000366210938,9.05998706817627,19.415563583374023,268.4434509277344,155.5500030517578,177760100.0
2010-10-11,88.45911407470703,18.959999084472656,88.45911407470703,8.441567420959473,1950.469970703125,77.44000244140625,,2025.5,11010.33984375,82.20999908447266,9.099726676940918,19.431373596191406,269.689697265625,153.02999877929688,103098300.0
2010-10-12,88.7969741821289,18.93000030517578,88.7969741821289,8.433846473693848,1957.9200439453125,77.36000061035156,2.421999931335449,2037.0,11020.400390625,81.66999816894531,9.197704315185547,19.621023178100586,270.9659729003906,156.47999572753906,182210000.0
2010-10-13,89.43155670166016,19.06999969482422,89.43155670166016,8.433846473693848,1972.0799560546875,77.06999969482422,2.430999994277954,2056.0,11096.080078125,83.01000213623047,9.246999740600586,20.02403450012207,271.92193603515625,155.1699981689453,194347200.0
